Homes,Destinations,Distance (KM)
ME4 5XH,ME4 4HY,2.82
L12 9EJ,L11 9DH,5.32
BD215HH,BD16 1GL,9.75
G77 6DA,G77 6AA,1.12
HU5 3UF,HU1 3JA,3.14
SR53NJ,SR5 3XG,2.93
WA12 9LL,WA12 9AN,1.26
OX11 6BT,OX11 7LG,3.94
DE11 0EL,DE11 8JE,2.22
WF2 9AZ,WF1 1QF,4.16
E2 7FB,E20 1EH,6.95
SP9 7PA,SP10 1LT,17.0
B237EG,B24 9FP,4.95
TA20 2DN,TA20 1PT,0.71
BT7 1NH,BT1 4EA,-1.0
NE1 2SW,NE1 7AF,2.53
ME4 5QF,ME4 4HY,1.94
MK64LU,MK9 3AG,5.27
PA14 6LW,PA15 1RH,8.05
WA2 9QU,WA1 1QP,3.41
WA12 9HT,WA9 1JJ,6.41
L11 3BH,L11 9DH,1.86
DE11 0JD,DE14 1DE,6.81
DE15 0ES,DE14 3TN,3.69
SS8 7TS,SS8 1AB,-1.0
M94JR,M8 8EP,3.32
ST3 5XP,ST3 2JA,2.49
B43 5LR,B42 1AA,4.68
BT16 2NL,BT5 5LP,-1.0
BN133GT,BN13 3PB,1.08
CR0 4LX,SM1 1JQ,6.44
DN16 3UW,DN16 2SN,3.14
CH46 7TR,CH41 2ZL,7.28
B38 8HG,B14 7DG,6.73
S42 6LH,S45 9NG,3.66
WR9 8JZ,WR9 8HE,0.82
L24 6SR,L24 2WZ,1.19
G697FS,ML5 3AE,2.86
CR26 6PW,SM1 1JU,-1.0
CV33 9QY,CV32 4DE,7.42
TS1 3NN,TS1 1TB,2.23
WN5 0EW,WN5 0UH,2.7
BT62 3RJ,BT62 3PL,-1.0
WA14LQ,WA1 1QP,4.59
WA9 3JH,WA9 1JJ,2.99
YO8 5HL,YO8 4ET,3.79
WA53BD,WA5 8UG,4.53
BD18 1LN,WF2 0XG,29.28
B66 1DF,B66 4BH,3.47
SS56JA,SS6 7EF,5.39
OL5 9JN,OL6 7JE,8.0
S66 3ZE,S2 5AU,19.2
NG23 6JL,NG1 3QE,44.6
LE65 1FG,LE65 1AF ,1.81
CV2 1SE,CV6 6AS,4.32
PO21 5AW,PO21 1PQ,2.86
ML6 8FY,ML6 6DB,3.24
B67 5LY,B66 4BH,1.45
WA58WU,WA5 8UG,1.33
PE29 1TE,PE29 3PN,2.26
ST5 1QG,ST5 1QL,0.8
SE12 0EP,SE13 7HB,5.98
AB51 0FP,AB10 1HW,29.31
BS23 3AT,BS22 8ED,1.98
WV12 4PA,WV11 1SZ,2.14
CO14 8DL,CO13 9PR,2.9
B25 8AP,B25 8UJ,1.54
CF81 8SX,CF81 8QT,0.68
NP19 7EU,NP20 1JN,2.29
UB33PD,UB3 3EX,1.64
CF53HZ,CF11 8AZ,4.58
EH166AR,EH16 4DY,3.47
KY120NT,KY12 7QU,2.57
WF11 0PU,WF8 1BA,4.47
SN14,SN15 3JP,18.36
S13 7LQ,S20 7PN,3.56
EX141AD,EX14 1HR ,0.52
TW15 2JH,TW15 2PH,0.92
CM23 2UW,CM23 3AB,3.0
KY12 9PU,KY12 7QU,10.83
SA31 3HE,SA31 3BN,2.12
BT47 6NW,BT48 6PE,-1.0
BT475QG,BT47 6DF,-1.0
CB99JZ,CB9 8AH,1.43
L114TQ,L11 9DH,1.78
BN1 3LP,BN1 2EB,1.68
SY3 0NB,SY3 9NB,3.02
LS29 0PS,LS21 3NX,17.05
NR6 6UP,NR2 1QD,6.37
E1 4QA,EC3M 6BL,3.81
CR0 8JJ,CR0 1TJ,7.56
NN8 1HW,NN8 1EZ,0.69
NN4 8DX,NN1 2EB,2.5
NN3 3RT,NN3 1HL,-1.0
WA7 6RW,WA7 2GX,5.92
NP22 5JR,NP22 3EJ,4.14
SG2 7QT,SG1 1EA,4.51
SK16 5QX,M34 3JP,6.3
NE6 3XH,NE1 7AF,6.76
LE6 0FY,LE4 1DF,5.67
GU21 3RF,GU21 6XX,5.85
L10AT,L1 4DJ,1.57
M8 0LS,M8 8EP,0.65
TW19 7LP,TW15 2PH,3.94
CM7 1ZL,CM7 1RB,1.92
CH66 2YQ,CH65 0AP,3.7
ML9 2ND,ML9 1DR,1.66
OL11SU,OL16 1EA,13.02
MK2 3BX,MK2 2HE,0.76
IP6 0DA,IP4 1HA,8.37
WV11 3DD,WV11 1SZ,1.83
PO9 2AD,PO9 1UW,1.2
AL8 7HE,AL8 6HA,1.76
TS2 1TQ,TS1 1TB,8.37
SG4 0HP,SG1 1EA,9.69
RH12 4JG,RH12 1PP,3.6
BT40,BT40 1JE,-1.0
TQ1 3RR,TQ1 1ET,1.58
WN2 5BS,WN1 1UE,3.97
LS22 7RA,LS22 6JG,1.71
CV2 4JJ,CV1 1DE,4.08
CR0 1JL,CR0 1TJ,1.96
ML6 7RF,ML6 6DB,7.89
RH15 9HD,RH15 9NP,1.47
M33 4GW,M33 7WZ,3.82
CF38 2LD,CF72 8SY,3.01
DE55 1BD,DE55 4HQ,2.98
SN10 1UA,SN10 1AJ ,1.13
KY5 9AJ,KY4 9QJ,5.79
CR2 6DW,CR0 1TJ,4.46
IP33 2QG,IP33 1DW,1.98
SK14 1JP,M34 3JP,3.81
DH31BL,NE11 0BD,5.02
B297AU,B29 6SQ,2.46
ML1 4GG,G31 4EB,21.81
BT455QE,BT45 6PR,-1.0
LE10 0EE,LE10 1DA,1.63
OL164XJ,OL16 1EA,3.69
LS125SX,LS11 8LL,6.9
S4 8BE,S9 1ES,1.97
BR3 3PR,BR3 1EA,0.91
BT34 2ST,BT35 6PR,-1.0
SA6 6FD,SA5 4BB,7.5
DY6 9AA,DY5 1SW,8.44
WF12 9JH,LS1 6AW,17.84
BT37OJH,BT1 1DD,-1.0
FY16JD,FY4 1AB,0.55
FY5 3BG,FY5 1BU,1.42
N8 9NX,E20 1EH,11.99
L28 0QB,L36 9YG,4.71
ME196AY,ME14 1QS,10.02
SG36AS,SG1 1EA,5.69
S58LS,S1 2HL,6.93
KT22 7QY,KT22 8AH,1.95
KY7 5AH,KY7 5NU,2.41
CV12 8SD,CV6 6AS,5.29
B97 6LR,B97 4EX,3.35
OX3 0FN,OX3 9AJ,2.91
CR8 2XT,CR8 2AB,0.67
WV14 9JJ,DY1 1PJ,4.88
YO10 5FX,YO1 8RX,4.45
PE29 2BG,PE29 3PN,3.36
WV12 5JG,WS1 1NG,5.4
LL12 9HN,CH4 0DP,12.17
LS25 2AW,LS15 8ZA,4.81
B91 1QQ,B91 3BG,3.62
NG6 8LA,NG6 8QD,1.68
CW12 4UF,CW12 1BA,2.95
HP2 5RX,HP1 1DX,3.51
SK17 6SW,SK17 6DF,0.97
M11 1BW,M11 1DA,0.46
BT42 1BN,BT43 6UF,-1.0
ME12 1SW,ME12 1UB,1.61
CR2 0QX,CR0 1TJ,3.89
WS10 9QA,WS1 1NG,4.01
WV11 3PB,WV1 3HG,7.58
PL31 2LH,PL31 2HT,0.58
CF38 1EJ,CF72 8SY,8.05
ML6 6PP,ML5 3AE,4.27
IV47GN ,IV2 3PP,19.74
S458HT,S45 9NG,4.88
CW7 3LN,CW7 1BA,2.62
LE18 1BA,LE18 1PA,2.03
NG20 0DN,NG18 1SU,8.35
DE5 8LD,DE5 3AG,2.35
DD4 8EX,DD2 4WB,8.57
SN25 4FJ,SN25 4AN,0.74
YO32 4BE,YO30 4XZ,4.33
CV6 7DR,CV6 6AS,3.44
HP199TZ,HP20 1ST,3.22
HX35QF,HX1 1RU,2.54
E50AZ,E10 5NH,4.75
HP11 2JW,HP11 2BZ,0.37
OX4 2WP,OX4 3XX,1.81
PL3 6RA,PL1 1RW,3.72
PE10 0WN,PE10 9AE,2.93
WS3 2TQ,WS1 1NG,5.14
CT16 2NQ,CT16 1QD,2.06
SK9 5BR,SK9 1DR,0.92
DY1 2JH,DY1 1PJ,3.17
SA13 3PH,CF34 9BT,5.33
SO50 5TF,SO50 5SG,0.86
OL7 0FS,OL6 7JE,1.88
SK14 5JA,SK14 2QT,2.16
LS62TL,LS11 8LL,8.93
RM3 9RH,RM3 8DT,1.97
ML10 6FT,ML9 1DR,11.69
DE55 3HA,DE55 4HQ,3.59
PO5 4AY,PO3 5NP,5.68
ST1 3QJ,ST1 1PF,1.12
SE1 9NN,SE5 8RW,4.43
TF107DE,TF10 7GQ,1.17
BT51 3ET,BT52 2DP,-1.0
KT2 7AJ,KT1 1BP,2.26
L31 7BL,L31 0AE,2.24
NE29 8LR,NE29 9QR,2.74
BS32 0EW,BS34 5DG,7.03
CB9 7YE,CB9 8AH,3.13
WA8 6DW,WA8 6JE,1.6
LS13 3DR,LS13 2ET,1.7
S640DR,S64 9AB,2.54
HA3 9NF,HA7 4DZ,-1.0
DE143HN,DE14 1DE,2.67
BT785AU,BT78 1BA,-1.0
DE22 3EN,DE1 2AL,2.4
PO33 1HA,PO33 2HT,1.37
N17 9BH,E20 1EH,9.2
LS15 8XJ,LS11 8LL,17.72
CR0 1ES,CR0 1TJ,1.97
BD14 6QE,BD1 1US,6.45
BT94 3FJ,BT74 7BD,-1.0
EH139AU,EH16 4DY,8.48
CT179NX,CT16 1QD,2.32
M11 3JX,M11 1DA,3.39
PO2 0HQ,PO1 1HG,2.52
LS12 4AA,LS11 8LL,3.94
SN25 2PT,SN25 4AN,3.59
DY10 2PD,DY10 1AA,1.26
RH16 4XW,RH16 4LJ,1.77
TS17 8HR,TS17 7BW,3.93
KY11 4RU,KY12 7QU,3.42
BL2 5JJ,BL6 6JA,11.67
LS12 4JX,LS11 8LL,5.2
LS12 4XG,LS2 8LQ,5.43
BB1 1QE,BB1 7JB,3.34
DD111PQ,DD11 1HY,0.87
BD18 4QP,BD1 1US,6.96
GU34 5PD,GU34 1ET,7.43
ME12ED,ME4 4HY,3.24
WA2 7DB,WA1 1QP,1.85
EN6 3HE,EN6 1BW,1.91
SK5 7NJ,SK1 1QN,2.39
E3 4BT,E15 1XA,3.74
BT80 0HZ,BT80 8NB,-1.0
BT47 2DL,BT47 6DF,-1.0
UB5 6LJ,SO14 7NN,113.87
CV65FB,CV6 6AS,3.83
WV14 8PX,WV14 0AX,2.55
E3 5BS,E15 1XA,4.05
G50LE,G5 0DP,1.72
M38 9TY,M28 3ZH,2.85
DE61JF,SK17 6DF,36.44
PE318TB,NR21 9AP,12.72
B92 7LH,B91 3BG,5.91
BT15 5AX,BT37 9UH,-1.0
NG13 8FT,NG1 3QE,15.91
NG7 2JJ,NG1 3QE,4.19
YO89DJ,YO8 4ET,1.0
WA15 7WZ,M41 0NA,11.27
LE2 6GU,LE18 1PA,3.51
G13 3XQ,G81 2TL,5.36
CF34 0HN,CF34 9BT,1.82
LA14 2DA,LA14 1DB,0.79
WA8 0QX,WA8 6JE,2.74
PL9 9PZ,PL1 1NW,6.39
BL4 8JF,M28 3ZH,3.94
B691AH,B65 0DU,2.76
DA1 1UX,DA6 7JJ,8.09
HP7 0EL,HP11 2BZ,14.06
SN14LR,SN1 1LD,2.08
EH546BZ,EH54 6HR,2.91
TD15 1QQ,TD15 1BN,1.47
EH48 4BL,EH54 6HR,11.62
S42 5JA,S45 9NG,2.44
WA7 3HN,WA7 2GX,3.31
BT36 5HW,BT37 9UH,-1.0
WS9 8BP,B72 1PQ,-1.0
WN2 5PT,WN1 1UE,5.51
WS154TZ,WS13 6NQ,9.75
NR32 2NG,NR32 1LR,0.91
SE18 6GT,SE18 6LQ,2.84
CR0 1EL,CR0 1TJ,1.8
IV17 0RJ,IV2 3PP,32.7
BT12LT,BT1 1DD,0.82
CV10 8AF,CV11 4EL,3.16
LS19 7XH,LS19 7YU,1.13
SO15 5QP,SO15 3NN,0.64
BN42 4HN,BN1 4JA,8.41
BS22 8EL,BS22 8ED,0.28
DG9 7EU,DG9 7ED,0.56
SE2 9DP,SE18 6LQ,6.57
SK9 1EH,SK9 1DR,1.98
LE2 9FD,LE2 5BF,6.4
SE7 8HN,SE18 6LQ,3.02
WA145TT,WA14 1RH,2.73
PO1 2RW,PO1 1HG,1.6
SK8 2LH,SK8 1AX,1.56
RG7 3PG,RG1 2AA,10.7
CV8 2GA,CV8 1HB,1.5
EH54 6PA,EH54 6HR,1.73
ME15 6QZ,ME14 1QS,2.01
AB24 5AD,AB11 6BE,2.82
WF3 2BH,LS11 8LL,7.75
SW15 4DJ,SW15 1TW,3.11
WD18 6AD,WD17 2TE,2.25
DT36RJ,DT4 8PJ,7.28
CH5 4TP,CH5 4UQ,0.5
CV6 1AG,CV1 1DE,2.4
PO33 2QR,PO33 2HT,0.59
WA86HR,WA8 7TN,1.36
PA145DD,PA14 5AU,2.27
WF8 4LL,WF8 1BA,2.09
LL114FE,LL11 1DB,-1.0
SK96BT,SK9 1DR,2.28
OL14 7TQ,HX1 1RU,25.7
CF47 8SH,CF47 8EG,1.38
NP22 3PB,NP22 3EJ,1.23
M33 7TF,M33 7WZ,0.42
FK78DJ,FK8 2EE,9.76
SO50 5TZ,SO50 5SG,1.87
CF14 2SS,CF10 2DP,5.52
ML1 3LH,ML1 1RB,1.66
S3 7HB,S1 4PB,1.38
BT47 4PU,BT49 0AA,-1.0
SL1 7NH,SL6 1LB,5.39
WA71LH,WA7 1LR,0.33
B37 7RZ,B90 3AH,11.29
TA12RU,TA1 3TP,3.14
WA36DJ,WA1 2QQ,7.07
CT17 9AL,CT16 1QD,0.96
BD17 5EP,BD17 7SW,2.38
LS11 0AT,WF2 0XG,12.81
BL81PW,BL9 0NN,2.57
TA12PL,TA1 3TP,2.58
LA9 5TR,LA9 4ND,1.79
CV11 5HE,CV11 4EL,2.53
CW1 3YA,CW1 2RP,3.78
LE16 8UD,LE16 7DR,14.22
LS26 8WE,LS11 8LL,10.43
CR0 8JT,CR0 1TJ,7.42
ML1 3LH,ML1 1RB,1.66
G45 9NQ,G45 9AA,1.26
TS10 2PJ,TS14 6AF,10.48
BT40 2LG,BT40 1JE,-1.0
HP21 8DB,HP20 1ST,2.63
GU342HJ,GU34 1ET,1.53
B90 3JW,B91 3SW,4.38
SW16 2BH,SW17 9PB,3.54
ML9 1AU,ML9 1DR,0.87
CV31 2RX,CV32 4DE,4.17
DE74AN,DE7 8AG,2.29
WV16 6LE,WV16 4DB,12.59
NE347EB,NE33 1HZ,5.16
L6 9DP,L13 5UX,3.41
BR69SR,BR6 0TW,2.69
MK17 7AU,MK9 3AG,9.87
CV227NG,CV21 3DU,2.35
BL16PE,BL1 1BU,3.93
S20 1GG,S20 7PN,1.88
SG15 6ZB,SG1 1EA,20.02
TA20 2EP,TA20 1PT,0.82
CO14 8RG,CO13 9PR,3.02
DL4 1NQ,DL14 9FA,4.25
BD1 5BA,BD17 7SW,7.24
CH655DX,CH65 9HD,1.22
BL17RG,BL1 1BU,4.68
CW2 7NG,CW1 2RP,2.56
MK56AD,MK9 3AG,4.48
G4 0UH,G2 8AH,1.47
DN1 3QJ,DN1 1TA,1.37
SE15 1NF,SE16 7LL,3.05
TS17 8PP,TS18 1NA,3.04
RH12 1TJ,RH12 1PP,0.67
SN2 2PE,SN25 4AN,3.06
TS19 0LH,TS18 1NA,2.73
NR22LX,NR2 1QD,1.55
IP23 7DW,IP22 4AD,8.99
TQ12 5FE,TQ12 2DT,5.08
BT71 5ER,BT80 8NB,-1.0
CH5 4XN,CH5 4UQ,1.12
TA20 1GY,TA20 1PT,1.64
BT12LT,BT1 4EA,-1.0
L11 3EE,L11 9DH,1.35
CA14 2TW,CA14 3DU,1.16
LE3 9RN,LE4 1DF,3.32
EX4 4GX,EX4 3DJ,3.2
EN87BH,EN8 7BZ,0.0
IP8 3SF,IP1 3EE,5.45
CO1 2NT,CO1 1LJ,1.97
BB2 3TJ,BB1 7JB,2.91
NG1 5LG,NG1 3QE,0.77
FY3 7RS,FY1 1DA,3.63
BB12 0DJ,BB11 1BA,1.33
B29 5SN,B29 5QL,2.91
BT51 3AU,BT52 2DP,-1.0
BN8 4NJ,RH16 4LJ,11.12
LS25 7BH,LS15 8ZA,6.85
LS270ET,LS27 9BP,1.38
N14 6HU,EN2 6SN,6.02
NE3 5RT,NE3 1JZ,3.54
WF8 2AG,WF8 1BA,1.55
CV62JE,CV1 1DE,3.64
TS184QL,TS18 1NA,2.41
YO211NZ,YO21 1BL,1.1
DL5 5JR,DL5 4DS,0.83
L32 4WA,L32 8RH,2.57
HP11 2ET,HP11 2BZ,0.4
SG2 9DD,SG1 1EA,3.53
NG16 3PY,NG16 2PB,4.79
RM166GZ,RM20 1WN,4.65
DE11 8DW,DE11 8JE,2.29
WR99AT,WR9 8HE,1.5
TR113NB,TR11 3AT,1.04
ME121XY,ME10 4PB,14.04
WD3 7DJ,WD3 1AQ,0.87
LA9 5HR,LA9 4ND,2.26
BT62 2EZ,BT32 3EA,-1.0
SG1 6BT,SG1 1EA,6.31
G66 3BU,G66 1HW,1.33
NP44 7JE,NP44 1PU,3.47
L3 8JD,BT38 7AG,447.54
SP10 1JN,SP10 1LT,1.5
BD21 2QW,BD21 3PS,-1.0
DA81EH,DA6 7JJ,3.9
B62 8TJ,DY5 1SY,8.18
BN1 5ND,RH16 4LJ,21.37
HP14 3QQ,HP11 2BZ,11.42
SA334BS,SA31 3BN,14.48
KT18 5FH,KT18 5DA,1.5
PR25 1JB,PR25 2SA,1.99
YO25 5HP,YO25 6QG,1.02
BT82 0NT,BT82 8AU,-1.0
IV3 5RG,IV2 3PP,2.24
PO11NT,PO3 5NP,3.76
IP3 0QR,IP1 3EE,3.77
SO18 6AG,SO14 7NN,5.24
IP11 9AS,IP11 7BE,1.36
BT411HA,BT41 4DN,-1.0
HA2 7AJ,HA7 4DZ,-1.0
S70 6AJ,S70 1SL,0.86
NN16 8QP,NN16 8JL,0.94
NN5 5DP,NN1 2EB,2.35
TF3 1UE,TF3 4AE,3.02
DL15 9TF,DL14 9FA,14.93
OX284DF,OX28 6JH,0.96
M145SZ,M4 3AB,5.21
KT25TB,KT1 1BP,2.83
BT37 9HU,BT37 9UH,-1.0
NE15 7SQ,NE5 2QZ,3.38
CH7 3NQ,CH4 0DP,8.72
M41 9RH,M41 0NA,2.02
M389UD,BL4 9DS,3.94
L3 8JA,L1 1LN,0.89
B70 6BQ,B70 7PP,1.86
BT48 0AB,BT48 7PX,-1.0
SA6 6JY,SA6 8AB,0.67
SA59AR,SA1 7BP,4.14
BB5 2JF,BB5 1EX,1.65
M40 3PE,M9 4DH,3.53
BN17 7NA,BN17 5EA,1.38
WR14 1AY,WR14 1PZ,1.79
WF4 2BN,WF1 1JZ,10.79
WA75AB,WA7 2GX,2.65
IP11 2YL,IP11 7BE,3.0
WV4 4EH,WV11 1SZ,7.85
NG19 8SR,NG18 1SU,7.27
WD17 2RB,WD17 2TE,2.07
BT48 9TH,BT48 6XY,-1.0
G77 6QW,G77 6AA,1.75
G44 4NY,G53 6QR,8.06
YO7 4NJ,YO7 1LB,4.2
WA7 6DZ,WA6 6QW,6.21
BB12 8AA,BB11 1BA,2.66
NR152ZA,NR1 1WR,20.36
M12 4GN,M4 3AB,6.92
CO27HR,CO1 1LJ,2.52
RH11 8UJ,RH10 1FP,3.71
BN1 9SF,BN1 2EB,10.44
CO6 1YS,CO1 1LJ,10.09
DL13 4DP,DL14 9FA,18.15
L24 6TB,L24 2WZ,1.62
HP13 5TA,HP11 2BZ,1.53
WA16 6JA,WA14 1RH,12.65
BH91QA,BH1 4AP,5.22
WF134PU,WF17 9DT ,6.46
DA75EA,DA6 7HF,2.93
ME11 5JN,ME12 1UB,5.77
CO15 4HR,CO15 1TD,2.43
CF36 5LL,CF36 3AP,1.47
BT48 0AS,BT47 6DF,-1.0
LS9 8NA,LS10 1ET,2.37
L16 3NS,L1 8BJ,7.8
CO15 4UL,CO15 4TL,1.01
PO2 0NS,PO3 5NP,1.44
WS32LY,WS3 3LG,1.53
TA6 7JE,TA6 4AB,2.94
EH12 9AG,EH12 9JY,3.01
LS11 6HT,LS11 8LL,2.91
PR4 0JH,PR1 8HJ,6.22
NN16 9RW,NN16 8JL,0.94
YO23 1DQ,YO30 4XZ,8.8
BT48 8LR,BT48 6PE,-1.0
G74 3NB,G74 1LW,4.21
M40 1QQ,M9 4DH,4.71
G53 6NG,G53 6QR,2.11
BD22 6QT,BD21 3PS,-1.0
KY85AR,KY8 4LZ,2.03
EX8 1AS,EX8 1HW,0.89
ST12DT,ST10 1AA,15.9
M33 4HZ,M33 7WZ,2.95
DG97RQ,DG9 7ED,0.39
WD50DG,WD17 2TE,7.22
CF34 0BN,CF34 9BT,1.31
BD19 6DF,BD1 1QR,10.17
DE75 7QT,DE75 7EG,0.82
WD25 0AY,WD17 2TE,4.89
G42 9UP,G53 6QR,4.69
IP12 1RP,IP12 1DE,2.48
SY10 9DY,SY11 1PU,4.9
DA26GB,DA9 9SJ,4.99
DE1 3GZ,DE1 2PL,2.67
SL2 2AQ,SL1 1DB,5.33
NP181NQ,NP19 4TX,7.15
NP19 0BL,NP19 4TX,3.96
WA7 2AN,WA7 2GX,1.33
DL146NS,DL14 7EP,2.78
S711SU,S70 1SB,4.05
CV58LS,CV6 6AS,7.93
LS11 5UL,LS10 1ET,1.28
NR32 2SY,NR32 1LR,2.26
EH67BT,EH12 9JY,13.41
DY8 1UU,DY8 1HJ,1.55
BT34 2ST,BT35 6PR,-1.0
IG11 9EE,E6 1HS,4.7
DD2 4BH,DD2 4WB,3.19
CO45UB,CO1 1LJ,4.25
EN34BG,EN2 6SN,3.19
HD2 1LF,HD1 2QB,4.3
RG226NX,RG24 8BQ,7.4
TF9 4RB,ST5 1AN,16.1
PE296LD,PE29 3PN,2.68
BT37 0YQ,BT37 9UH,-1.0
NG3 7BS,NG1 3QE,3.15
IP5 2XF,IP12 1DE,7.72
DN15 8NY,DN15 8NN,2.97
CM1 6GA,CM2  6FD,5.83
TF9 2RX,TF9 1PH,8.06
SY37RP,SY3 9NB,2.28
RG12 9JB,RG12 1HA,2.85
PO29PE,PO2 0LN,1.55
S73 8TW,S73 8DA,1.25
RM155AU,RM20 1WN,6.64
L13 7EA,L11 1BY,2.68
FK7 9DJ,FK8 2EE,4.21
E8 1FE,E8 1HY,0.69
BB99RJ,BB11 1BA,8.92
TS17 6LP,TS17 7BW,3.06
CM77 6BY,CM7 1RB,3.26
BT714FD,BT71 4NA,-1.0
LL141DJ,LL11 1DB,-1.0
CH61 6YH,CH60 7RA,1.76
IP22 2BA,IP22 4AD,5.16
DA6 7QD,DA6 7JJ,1.71
DN172DX,DN15 8NN,7.07
CO10 1AQ,CO10 1RB,0.21
M168JZ,M41 0NA,7.23
NG98GW,NG9 7AB,1.78
WS10 7TL,WV14 0AX,4.84
BN229JW,BN23 7RT,3.07
PL9 9PB,PL1 1NW,6.72
DD2 3AJ,DD2 4WB,3.76
RH15 0PH,RH16 4LJ,5.61
SN139JR,SN15 3JP,8.74
BN3 8EU,BN1 2EB,7.5
UB5 4RA,UB6 0UW,1.81
BB55PJ,BB5 1EX,3.17
S63 9AQ,S73 0UF,7.46
NG2 7JU,NG1 3QE,4.35
WF1 4ER,WF2 0XG,5.34
TS19 0AX,TS18 1NA,1.27
TS170FS,TS18 1NA,7.08
SY13 1UY,SY13 1AA,0.28
DE55 6GP,DE55 4HQ,8.33
KY4 8DB,KY12 7QU,5.88
DL14 7PY,DL14 9FA,4.47
EX22 6NQ,EX23 9TG,15.68
DE15 9LD,DE14 1DE,2.25
TF4 2HX,TF1 1LU,6.88
B1 2PR,B4 7TE,4.15
BD10 8DX,BD1 1US,5.97
BT70 1AJ,BT71 4NA,-1.0
HU12 8FN,HU7 3DD,14.6
OL16 5BL,OL16 1EA,2.7
PR2 1SN,PR1 8HJ,3.93
L35 2XH,L34 5GA,2.55
CO10 2AQ,CO10 1RB,1.15
BS4 1SH,BS3 4EX,5.02
SM5 2SB,SM1 1JQ,3.76
BN3 5SG,BN3 5TD,0.2
BT45 5PD,BT45 6PR,-1.0
B23 5GG,B72 1PQ,-1.0
TS18 3BF,TS17 7BW,5.23
ST2 0RR,ST4 1DF,6.83
CB24 8TW,CB1 1ER,11.29
RH19 3EW,RH19 4DW,2.41
CO4 9RZ,CO1 1LJ,4.18
NG5 6RQ,NG1 3QE,5.54
TS7 0AN,TS1 1TB,8.83
BA12 0DN,BA12 9BT,1.72
S5 0QE,S9 1ES,5.58
CO10 1UN,CO10 1RB,0.21
TS19 7SE,TS17 7BW,9.85
KA3 2AA,KA1 1NP,3.18
OX28 1JH,OX28 6JH,1.64
SY21 9DZ,SY21 7BL,9.11
WS3 3DY,WS1 1NG,4.25
WR4 9SD,WR1 3LY,3.05
DN12 4AZ,S64 9AB,4.07
IV31 6QH,IV30 1DS,9.83
DE24 8PA,DE24 8QP,1.02
CB4 2SE,CB1 1ER,3.74
BT23 5JQ,BT23 7HS,-1.0
ST4 7HD,ST7 1XD,10.61
SR8 5EW,SR8 1AE,2.17
FY76TW,FY7 6LY,0.78
WR14 1RE,WR14 1PZ,3.21
DE55 5LU,DE55 7BQ,6.91
PE9 1EY,PE9 2AY,1.96
S118NX,S1 2HL,1.49
FK2 7EX,FK1 1HG,2.14
G15 8BF,G14 0YU,4.98
FY53UA,FY5 1BU,1.88
RH15 8LZ,RH15 9NP,1.45
MK4 1LH,MK4 4DD,2.62
SA149UY,SA14 9UY,0.0
KT4 7PG,KT3 4BP,2.24
ME10 2RT,ME10 4PB,3.41
DA8 3JY,DA9 9SJ,12.09
WF17 0NY,WF17 9DT ,3.19
TS177HA,TS17 7BW,2.72
BT412SQ,BT41 4DN,-1.0
NG1 1BG,NG1 2NX,1.96
SA731BX,SA73 3AU,2.56
KY8 5BD,KY8 4LZ,2.72
PE36 5DG,PE30 1DP,26.24
B68 8NR,B69 3DD,1.88
M40 9QD,M4 3AB,7.72
DL5 4HX,DL5 4DS,1.05
SY3 9LW,SY1 1BN,5.14
RM5 3JX,RM5 3NX,0.77
NG178NU,NG17 1BN,3.09
M345NX,M34 3JP,6.18
BT170XR,BT12 6HU,-1.0
M18 8NQ,M4 3AB,7.33
TW13 7AZ,TW13 4AU,1.55
NG55GA,NG6 8QD,2.82
S61 3EH,S9 1ES,6.28
DE554LD,DE55 7BQ,3.86
BT12 5QD,BT12 6HN,-1.0
BR2 6HY,BR4 0LS,5.14
SS9 5YA,SS1 1LL,7.04
RH13 6EG,RH12 1PP,4.84
M19 3AE,M4 3AB,7.22
WS10 9LA,WS1 1NG,4.54
BT30 6QE,BT30 6LR,-1.0
TS18 5HX,TS17 7BW,7.22
PR1 6RY,PR1 2EN,2.4
EH45 9BP,EH16 5PB,35.24
BD22 6QY,BD21 3PS,-1.0
BT2 7GL,BT1 1DD,1.48
CM179DG,CM20 1EY,3.62
BT48 7JF,BT48 6XY,-1.0
IP33 3NN,IP33 1DW,1.94
WF2 9PN,WF1 1QF,2.86
BL96JR,BL9 0QF,2.86
BT152HT,BT15 1WA,-1.0
BN12 6HU,BN11 3HF,4.93
SK141NZ,M34 3JP,3.66
BT62 4BT,BT62 3PL,-1.0
NR5 8EH,NR1 1WR,5.79
BT12 5DL,BT12 6HN,-1.0
EH21 6UD,EH21 7DZ,5.12
BT488RU,BT48 6XY,-1.0
DY40XS,B69 3DD,6.93
IG11 0XN,E6 7ER,5.76
CM205NE,CM20 1EY,-1.0
EX8 5PE,EX8 1HW,3.03
BT71QJ,BT12 6HU,-1.0
NG6 9HF,NG6 8QD,1.07
SA128EP,SA13 1PB,3.3
BB10 3HH,BB11 1BA,3.4
RM16 4ED,RM17 6QF,4.07
CA2 5QL,CA3 8NX,2.31
SN25 4TN,SN25 4AN,1.19
DH6 1AE,DH1 3NJ,7.89
WN7 1LJ,WN7 4PG,0.6
RM9 5JA,RM20 1WN,15.02
BH9 1RP,BH9 2AQ,1.6
WD25 7JH,WD24 7RT,3.55
ME8 6ES,ME7 3PB,4.43
